Title,Year,Director,Director_Gender,Actor,Actor_Gender
The Virgin Suicides,1999,Sofia Coppola,F,James Woods,M
The Florida Project,2017,Sean Baker,M,Brooklynn Prince,F
The Worst Person in the World,2021,Joachim Trier,M,Renate Reinsve,F
Beautiful Boy,2018,Felix van Groeningen,M,Steve Carell,M
Gladiator,2000,Ridley Scott,M,Russell Crowe,M
In the Mood for Love,2000,Wong Kar-wai,M,Tony Leung Chiu-wai,M
The Hateful Eight,2015,Quentin Tarantino,M,Samuel L. Jackson,M
The Pianist,2002,Roman Polanski,M,Adrien Brody,M
Triangle of Sadness,2022,Ruben Östlund,M,Harris Dickinson,M
The Handmaiden,2016,Park Chan-wook,M,Kim Min-hee,F
The Royal Tenenbaums,2001,Wes Anderson,M,Gene Hackman,M
Licorice Pizza,2021,Paul Thomas Anderson,M,Alana Haim,F
Sound of Metal,2019,Darius Marder,M,Riz Ahmed,M
The Killing of a Sacred Deer,2017,Yorgos Lanthimos,M,Colin Farrell,M
TÁR,2022,Todd Field,M,Cate Blanchett,F
City of God,2002,Fernando Meirelles,M,Alexandre Rodrigues,M
"tick, tick...BOOM!",2021,Lin-Manuel Miranda,M,Andrew Garfield,M
"Crazy, Stupid, Love.",2011,Glenn Ficarra,M,Steve Carell,M
When Harry Met Sally...,1989,Rob Reiner,M,Meg Ryan,F
The Irishman,2019,Martin Scorsese,M,Robert De Niro,M
All Quiet on the Western Front,2022,Edward Berger,M,Felix Kammerer,M
mother!,2017,Darren Aronofsky,M,Jennifer Lawrence,F
Civil War,2024,Alex Garland,M,Kirsten Dunst,F
Pan's Labyrinth,2006,Guillermo del Toro,M,Ivana Baquero,F
Promising Young Woman,2020,Emerald Fennell,F,Carey Mulligan,F
The Sixth Sense,1999,M. Night Shyamalan,M,Bruce Willis,M
All of Us Strangers,2023,Andrew Haigh,M,Andrew Scott,M
La Haine,1995,Mathieu Kassovitz,M,Vincent Cassel,M
May December,2023,Todd Haynes,M,Natalie Portman,F
One Flew Over the Cuckoo's Nest,1975,Miloš Forman,M,Jack Nicholson,M
