Title,Year,Director,Director_Gender,Actor,Actor_Gender
Airplane!,1980,Jerry Zucker,M,Robert Hays,M
Willy Wonka & the Chocolate Factory,1971,Mel Stuart,M,Gene Wilder,M
Burn After Reading,2008,Ethan Coen,M,George Clooney,M
Bridesmaids,2011,Paul Feig,M,Kristen Wiig,F
This Is the End,2013,Seth Rogen,M,James Franco,M
After Hours,1985,Martin Scorsese,M,Griffin Dunne,M
Kinds of Kindness,2024,Yorgos Lanthimos,M,Emma Stone,F
The King of Comedy,1982,Martin Scorsese,M,Robert De Niro,M
22 Jump Street,2014,Phil Lord,M,Jonah Hill,M
She's the Man,2006,Andy Fickman,M,Amanda Bynes,F
50 First Dates,2004,Peter Segal,M,Adam Sandler,M
Tropic Thunder,2008,Ben Stiller,M,Ben Stiller,M
Kung Fu Panda 2,2011,Jennifer Yuh Nelson,F,Jack Black,M
The Disaster Artist,2017,James Franco,M,Dave Franco,M
The 40 Year Old Virgin,2005,Judd Apatow,M,Steve Carell,M
The Goonies,1985,Richard Donner,M,Sean Astin,M
Gremlins,1984,Joe Dante,M,Zach Galligan,M
We're the Millers,2013,Rawson Marshall Thurber,M,Jason Sudeikis,M
Evil Dead II,1987,Sam Raimi,M,Bruce Campbell,M
High School Musical,2006,Kenny Ortega,M,Zac Efron,M
Scary Movie,2000,Keenen Ivory Wayans,M,Anna Faris,F
Klaus,2019,Sergio Pablos,M,Jason Schwartzman,M
"O Brother, Where Art Thou?",2000,Joel Coen,M,George Clooney,M
The Terminal,2004,Steven Spielberg,M,Tom Hanks,M
Clue,1985,Jonathan Lynn,M,Tim Curry,M
Ralph Breaks the Internet,2018,Rich Moore,M,John C. Reilly,M
Project X,2012,Nima Nourizadeh,M,Thomas Mann,M
Cloudy with a Chance of Meatballs,2009,Phil Lord,M,Bill Hader,M
Bee Movie,2007,Steve Hickner,M,Jerry Seinfeld,M
I Care a Lot,2020,J Blakeson,M,Rosamund Pike,F
Fear and Loathing in Las Vegas,1998,Terry Gilliam,M,Johnny Depp,M
The Apartment,1960,Billy Wilder,M,Jack Lemmon,M
Grown Ups,2010,Dennis Dugan,M,Adam Sandler,M
Hocus Pocus,1993,Kenny Ortega,M,Bette Midler,F
