Title,Year,Director,Director_Gender,Actor,Actor_Gender,Synopsis
Halloween Kills,2021,David Gordon Green,M,Jamie Lee Curtis,F,"The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, Ill., to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all."
The First Omen,2024,Arkasha Stevenson,F,Nell Tiger Free,F,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate."
Saint Maud,2019,Rose Glass,F,Morfydd Clark,F,"Having recently found God, self-effacing young nurse Maud arrives at a plush home to care for Amanda, a hedonistic dancer left frail from a chronic illness. When a chance encounter with a former colleague throws up hints of a dark past, it becomes clear there is more to sweet Maud than meets the eye."
Vivarium,2019,Lorcan Finnegan,M,Imogen Poots,F,"A young woman and her fiancé are in search of the perfect starter home. After following a mysterious real estate agent to a new housing development, the couple finds themselves trapped in a maze of identical houses and forced to raise an otherworldly child."
The Visit,2015,M. Night Shyamalan,M,Olivia DeJonge,F,"The terrifying story of a brother and sister who are sent to their grandparents' remote Pennsylvania farm for a weeklong trip. Once the children discover that the elderly couple is involved in something deeply disturbing, they see their chances of getting back home are growing smaller every day."
Lamb,2021,Valdimar Jóhannsson,M,Noomi Rapace,F,"A couple discover a mysterious half-lamb/half-human newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them."
Halloween Ends,2022,David Gordon Green,M,Jamie Lee Curtis,F,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all."
No One Will Save You,2023,Brian Duffield,M,Kaitlyn Dever,F,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.
Paranormal Activity,2007,Oren Peli,M,Katie Featherston,F,"Soon after moving into a suburban tract home, Katie and Micah become increasingly disturbed by what appears to be a supernatural presence. Hoping to capture evidence of it on film, they set up video cameras in the house but are not prepared for the terrifying events that follow."
Child's Play,1988,Tom Holland,M,Catherine Hicks,F,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed by the soul of a serial killer."
Candyman,1992,Bernard Rose,M,Virginia Madsen,F,"The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth."
Possessor,2020,Brandon Cronenberg,M,Andrea Riseborough,F,"Tasya Vos, an elite corporate assassin, uses brain-implant technology to take control of other people’s bodies to terminate high profile targets. As she sinks deeper into her latest assignment, Vos becomes trapped inside a mind that threatens to obliterate her."
Run,2020,Aneesh Chaganty,M,Sarah Paulson,F,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret."
The Nun II,2023,Michael Chaves,M,Taissa Farmiga,F,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil."
Martyrs,2008,Pascal Laugier,M,Morjana Alaoui,F,"A young woman’s quest for revenge against the people who kidnapped and tortured her as a child leads her and her best friend, also a victim of child abuse, on a terrifying journey into a living hell of depravity."
The House,2022,Paloma Baeza,F,Mia Goth,F,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy."
Alien³,1992,David Fincher,M,Sigourney Weaver,F,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can."
The Strangers,2008,Bryan Bertino,M,Liv Tyler,F,"After returning from a wedding reception, a couple staying in an isolated vacation house receive a knock on the door in the mid-hours of the night. What ensues is a violent invasion by three strangers, their faces hidden behind masks. The couple find themselves in a violent struggle, in which they go beyond what either of them thought capable in order to survive."
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,F,Sheila Vand,F,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire."
Annabelle,2014,John R. Leonetti,M,Annabelle Wallis,F,"John Form has found the perfect gift for his expectant wife, Mia - a beautiful, rare vintage doll in a pure white wedding dress. But Mia's delight with Annabelle doesn't last long. On one horrific night, their home is invaded by members of a satanic cult, who violently attack the couple. Spilled blood and terror are not all they leave behind. The cultists have conjured an entity so malevolent that nothing they did will compare to the sinister conduit to the damned that is now... Annabelle."
Gerald's Game,2017,Mike Flanagan,M,Carla Gugino,F,"When her husband's sex game goes wrong, Jessie (who is handcuffed to a bed in a remote lake house) faces warped visions, dark secrets and a dire choice."
Death Becomes Her,1992,Robert Zemeckis,M,Goldie Hawn,F,"Madeline is married to Ernest, who was once arch-rival Helen's fiance. After recovering from a mental breakdown, Helen vows to kill Madeline and steal back Ernest. Unfortunately for everyone, the introduction of a magic potion causes things to be a great deal more complicated than a mere murder plot."
I Know What You Did Last Summer,1997,Jim Gillespie,M,Jennifer Love Hewitt,F,"As they celebrate their high school graduation, four friends are involved in a hit-and-run accident when their car hits and apparently kills a pedestrian on an isolated roadway. They dispose of the body and vow to keep the incident a secret, a year later somebody starts sending them letters bearing the warning ""I Know What You Did Last Summer""."
Texas Chainsaw Massacre,2022,David Blue Garcia,M,Sarah Yarkin,F,"In this sequel, influencers looking to breathe new life into a Texas ghost town encounter Leatherface, an infamous killer who wears a mask of human skin."
Inland Empire,2006,David Lynch,M,Laura Dern,F,An actress's perception of reality becomes increasingly distorted as she finds herself falling for her co-star in a remake of an unfinished Polish production that was supposedly cursed.
Black Christmas,1974,Bob Clark,M,Olivia Hussey,F,A sorority house is terrorized by a stranger who makes frightening phone calls and then murders the sorority sisters during Christmas break.
Ma,2019,Tate Taylor,M,Octavia Spencer,F,"Sue Ann is a loner who keeps to herself in her quiet Ohio town. One day, she is asked by Maggie, a new teenager in town, to buy some booze for her and her friends, and Sue Ann sees the chance to make some unsuspecting, if younger, friends of her own."
The Night House,2020,David Bruckner,M,Rebecca Hall,F,"Reeling from the unexpected death of her husband, Beth is left alone in the lakeside home he built for her. Soon she begins to uncover her recently deceased husband's disturbing secrets."
Escape Room,2019,Adam Robitel,M,Taylor Russell,F,"Six strangers find themselves in circumstances beyond their control, and must use their wits to survive."
Drag Me to Hell,2009,Sam Raimi,M,Alison Lohman,F,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell."
Stoker,2013,Park Chan-wook,M,Mia Wasikowska,F,"After India's father dies, her Uncle Charlie, who she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him."
House of Wax,2005,Jaume Collet-Serra,M,Elisha Cuthbert,F,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.
Orphan: First Kill,2022,William Brent Bell,M,Isabelle Fuhrman,F,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost."
The New Mutants,2020,Josh Boone,M,Blu Hunt,F,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves."
You're Next,2011,Adam Wingard,M,Sharni Vinson,F,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of their victims harbors a secret talent for fighting back."
Scary Stories to Tell in the Dark,2019,André Øvredal,M,Zoe Colletti,F,"Mill Valley, Pennsylvania, Halloween night, 1968. After playing a joke on a school bully, Sarah and her friends decide to sneak into a supposedly haunted house that once belonged to the powerful Bellows family, unleashing dark forces that they will be unable to control."
Ginger Snaps,2000,John Fawcett,M,Katharine Isabelle,F,"The story of two outcast sisters, Ginger and Brigitte, in the mindless suburban town of Bailey Downs. On the night of Ginger's first period, she is savagely attacked by a wild creature. Ginger's wounds miraculously heal but something is not quite right. Now Brigitte must save her sister and save herself."
Silent Hill,2006,Christophe Gans,M,Radha Mitchell,F,"In search for answers, a mother travels to the enigmatic town of Silent Hill when her daughter begins to suffer recurring nightmares related to the place. It doesn't take long for her to discover its home to beings as equally haunting as the town itself."
We're All Going to the World's Fair,2021,Jane Schoenbrun,F,Anna Cobb,F,"Reality and fantasy begin to blur when teenager Casey, alone in her attic bedroom, immerses herself in a role-playing horror game online."
Ring,1998,Hideo Nakata,M,Nanako Matsushima,F,"A mysterious video has been linked to a number of deaths, and when an inquisitive journalist finds the tape and views it herself, she sets in motion a chain of events that puts her own life in danger."
Watcher,2022,Chloe Okuno,F,Maika Monroe,F,"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street."
Final Destination 3,2006,James Wong,M,Mary Elizabeth Winstead,F,"A student's premonition of a deadly rollercoaster ride saves her life and a lucky few, but not from death itself – which seeks out those who escaped their fate."
