Title,Year,Director,Director_Gender,Actor,Actor_Gender
Iron Man 3,2013,Shane Black,M,Robert Downey Jr.,M
The Northman,2022,Robert Eggers,M,Alexander Skarsgård,M
Suicide Squad,2016,David Ayer,M,Will Smith,M
Spider-Man 3,2007,Sam Raimi,M,Tobey Maguire,M
Legally Blonde,2001,Robert Luketic,M,Reese Witherspoon,F
Charlie and the Chocolate Factory,2005,Tim Burton,M,Johnny Depp,M
Toy Story 2,1999,John Lasseter,M,Tom Hanks,M
Licorice Pizza,2021,Paul Thomas Anderson,M,Alana Haim,F
Sound of Metal,2019,Darius Marder,M,Riz Ahmed,M
Big Hero 6,2014,Chris Williams,M,Scott Adsit,M
Iron Man 2,2010,Jon Favreau,M,Robert Downey Jr.,M
The Conjuring,2013,James Wan,M,Patrick Wilson,M
Frozen,2013,Chris Buck,M,Kristen Bell,F
Thor,2011,Kenneth Branagh,M,Chris Hemsworth,M
The Killing of a Sacred Deer,2017,Yorgos Lanthimos,M,Colin Farrell,M
Cars,2006,John Lasseter,M,Owen Wilson,M
TÁR,2022,Todd Field,M,Cate Blanchett,F
The Hunger Games: Mockingjay – Part 1,2014,Francis Lawrence,M,Jennifer Lawrence,F
Vertigo,1958,Alfred Hitchcock,M,James Stewart,M
City of God,2002,Fernando Meirelles,M,Alexandre Rodrigues,M
"tick, tick...BOOM!",2021,Lin-Manuel Miranda,M,Andrew Garfield,M
The Hangover,2009,Todd Phillips,M,Bradley Cooper,M
Die Hard,1988,John McTiernan,M,Bruce Willis,M
Halloween,1978,John Carpenter,M,Donald Pleasence,M
How to Train Your Dragon,2010,Chris Sanders,M,Jay Baruchel,M
"Crazy, Stupid, Love.",2011,Glenn Ficarra,M,Steve Carell,M
Kingsman: The Secret Service,2014,Matthew Vaughn,M,Taron Egerton,M
John Wick: Chapter 4,2023,Chad Stahelski,M,Keanu Reeves,M
When Harry Met Sally...,1989,Rob Reiner,M,Meg Ryan,F
Eternals,2021,Chloé Zhao,F,Gemma Chan,F
The Irishman,2019,Martin Scorsese,M,Robert De Niro,M
All Quiet on the Western Front,2022,Edward Berger,M,Felix Kammerer,M
Godzilla Minus One,2023,Takashi Yamazaki,M,Ryunosuke Kamiki,M
mother!,2017,Darren Aronofsky,M,Jennifer Lawrence,F
Corpse Bride,2005,Tim Burton,M,Johnny Depp,M
Civil War,2024,Alex Garland,M,Kirsten Dunst,F
Pan's Labyrinth,2006,Guillermo del Toro,M,Ivana Baquero,M
Promising Young Woman,2020,Emerald Fennell,F,Carey Mulligan,F
The Sixth Sense,1999,M. Night Shyamalan,M,Bruce Willis,M
The Killer,2023,David Fincher,M,Michael Fassbender,M
Ocean's Eleven,2001,Steven Soderbergh,M,George Clooney,M
Shaun of the Dead,2004,Edgar Wright,M,Simon Pegg,M
All of Us Strangers,2023,Andrew Haigh,M,Andrew Scott,M
The Black Phone,2021,Scott Derrickson,M,Mason Thames,M
La Haine,1995,Mathieu Kassovitz,M,Vincent Cassel,M
E.T. the Extra-Terrestrial,1982,Steven Spielberg,M,Henry Thomas,M
May December,2023,Todd Haynes,M,Natalie Portman,F
One Flew Over the Cuckoo's Nest,1975,Miloš Forman,M,Jack Nicholson,M
Cruella,2021,Craig Gillespie,M,Emma Stone,F
Kiki's Delivery Service,1989,Hayao Miyazaki,M,Minami Takayama,F
Furiosa: A Mad Max Saga,2024,George Miller,M,Anya Taylor-Joy,F
Ponyo,2008,Hayao Miyazaki,M,Yuria Kozuki,F
Kung Fu Panda,2008,Mark Osborne,M,Jack Black,M
Before Sunset,2004,Richard Linklater,M,Ethan Hawke,M
The Exorcist,1973,William Friedkin,M,Ellen Burstyn,F
Stand by Me,1986,Rob Reiner,M,Wil Wheaton,M
The Hunger Games: Mockingjay – Part 2,2015,Francis Lawrence,M,Jennifer Lawrence,F
13 Going on 30,2004,Gary Winick,M,Jennifer Garner,F
Manchester by the Sea,2016,Kenneth Lonergan,M,Casey Affleck,M
Train to Busan,2016,Yeon Sang-ho,M,Gong Yoo,M
A Star Is Born,2018,Bradley Cooper,M,Lady Gaga,F
Beetlejuice,1988,Tim Burton,M,Alec Baldwin,M
The Big Short,2015,Adam McKay,M,Steve Carell,M
Annihilation,2018,Alex Garland,M,Natalie Portman,F
Heat,1995,Michael Mann,M,Al Pacino,M
The Imitation Game,2014,Morten Tyldum,M,Benedict Cumberbatch,M
Venom,2018,Ruben Fleischer,M,Tom Hardy,M
Easy A,2010,Will Gluck,M,Emma Stone,F
Full Metal Jacket,1987,Stanley Kubrick,M,Matthew Modine,M
The Amazing Spider-Man 2,2014,Marc Webb,M,Andrew Garfield,M
